Account ,Date,Transaction Type,No.,Name,Memo/Description,Split,Amount,Balance
,12/12/2022,Bank Draft,,Abacus GP Ltd,,MARKETING/SELLING:Car Rental,-203.41,"280,997.34"
,12/12/2022,Fund Transfer,,,,EastX  Saver ****7829,"-70,000.00","210,997.34"
,13/12/2022,Fund Transfer,,,,Business Card,"-9,909.44","201,087.90"
,13/12/2022,Expense Transaction (Bank Draft),9366,Abacus GP Ltd,,Payables,"-1,326.87","199,761.03"
,13/12/2022,Expense Transaction (Bank Draft),9364,Northwood GMBH,,Payables,"-9,373.00","190,388.03"
,14/12/2022,Expense Transaction (Bank Draft),9365,Northwood Group SAS,,Payables,"-17,900.00","172,488.03"
,14/12/2022,Transaction,,Armurerie Mallet,,Receivables,"1,272.00","173,760.03"
,15/12/2022,Expense Transaction (Bank Draft),9367,Abacus GP Ltd,,Payables,"-1,045.12","172,714.91"
,16/12/2022,Expense Transaction (Bank Draft),9376,Royal,,Payables,"-6,120.86","166,594.05"
,16/12/2022,Bank Draft,9374,Abacus GP Ltd,,MARKETING/SELLING:Car Rental,-348.37,"166,245.68"
,17/12/2022,Transaction,,James Walton,,Receivables,"5,162.40","171,408.08"
,17/12/2022,Transaction,,HH Sheikh Mohammed Al-Sharqi,,Receivables,"186,000.00","357,408.08"
,17/12/2022,Expense Transaction (Bank Draft),9372,Abacus GP Ltd,,Payables,-568,"356,840.08"
,17/12/2022,Transaction,,Steven F Clark,,Receivables,"6,940.00","363,780.08"
,20/12/2022,Transaction,,Armurerie Richard,,Receivables,"30,754.00","394,534.08"
,20/12/2022,Transaction,,Tommy Salmon,,Receivables,"13,385.89","407,919.97"
,20/12/2022,Fund Transfer,,,,EastX  Saver ****7829,"-50,000.00","357,919.97"
,21/12/2022,Bank Draft,9375,Elite communication,,MARKETING/SELLING:Telephone Expense,-549.83,"357,370.14"
,22/12/2022,Fund Transfer,,,,EastX  Saver ****7829,"-40,000.00","317,370.14"
,24/12/2022,Transaction,,Pablo Gonzalez,,Receivables,88.8,"317,458.94"
,24/12/2022,Expense Transaction (Bank Draft),9377,TMC Ltd,,Payables,"-57,742.80","259,716.14"
,31/12/2022,Transaction,,Krister Karki,,Receivables,850,"260,566.14"
,31/12/2022,Bank Draft,9378,Castle Water,,ADMINISTRATION:Utilities,-24.32,"260,541.82"
,31/12/2022,Ledger Entry,3400,,EastX bank Account package fee,-Split-,"-2,025.00","258,516.82"
,31/12/2022,Fund Transfer,,,,EastX  Saver ****7829,"-30,000.00","228,516.82"
,31/12/2022,Transaction,,Giancarlo Lugli,,Receivables,"11,614.00","240,130.82"
Total for EastX Bank,,,,,,,"£137,765.40  ",
EastX 2233,,,,,,,,
,Beginning Balance,,,,,,,1.62
Total for EastX 2233,,,,,,,,
EastX ****2310,,,,,,,,
,Beginning Balance,,,,,,,"4,999.81"
,2/1/2022,Transaction,,Online Sale,,Receivables,134.88,"5,134.69"
,2/1/2022,Transaction,,Online Sale,,Receivables,570.69,"5,705.38"
,2/1/2022,Transaction,,Online Sale,,Receivables,320.25,"6,025.63"
,2/1/2022,Transaction,,Online Sale,,Receivables,349.83,"6,375.46"
,2/1/2022,Transaction,,Online Sale,,Receivables,320.25,"6,695.71"
,2/1/2022,Transaction,,Online Sale,,Receivables,142.77,"6,838.48"
,31/12/2022,Expense Transaction (Bank Draft),Mary2186,guntrader.co.uk,,Payables,-63.6,"1,534.70"
,31/12/2022,Bank Draft,Mary2187,Aerial Direct,,MARKETING/SELLING:Telephone Expense,-158.35,"1,376.35"
,31/12/2022,Expense Transaction (Bank Draft),Mary2181,Ray St Ledger & Sons,,Payables,-90,"1,286.35"
,31/12/2022,Expense Transaction (Bank Draft),Mary2168,Aform Tooling Limited,,Payables,"-3,336.00","-2,049.65"
,31/12/2022,Expense Transaction (Bank Draft),Mary2180,SRS Freight Ltd,,Payables,"-11,076.75","-13,126.40"
,31/12/2022,Expense Transaction (Bank Draft),Mary2185,Tweed Media,,Payables,"-6,360.00","-19,486.40"
,31/12/2022,Expense Transaction (Bank Draft),Mary2173,TimberLake Workshop,,Payables,-322.9,"-19,809.30"
,31/12/2022,Expense Transaction (Bank Draft),Mary2169,Broadbent Leather goods,,Payables,-202.5,"-20,011.80"
,31/12/2022,Fund Transfer,,,,EastX  Saver ****7829,"12,000.00","-8,011.80"
,31/12/2022,Fund Transfer,,,,EastX  Saver ****7829,"20,000.00","11,988.20"
,31/12/2022,Fund Transfer,,,,EastX  Saver ****7829,"15,000.00","26,988.20"
,31/12/2022,Expense Transaction (Bank Draft),Mary2179,Mayfair  Engineering,,Payables,"-3,606.00","23,382.20"
,31/12/2022,Expense Transaction (Bank Draft),Mary2183,Swieton Brice,,Payables,-43.69,"23,338.51"
,31/12/2022,Expense Transaction (Bank Draft),Mary2176,John Whitfield,,Payables,-450,"22,888.51"
,31/12/2022,Expense Transaction (Bank Draft),Mary2182,Revolution Wines,,Payables,-30,"22,858.51"
,31/12/2022,Expense Transaction (Bank Draft),Mary2178,London Barrel Maker,,Payables,"-6,480.00","16,378.51"
,31/12/2022,Expense Transaction (Bank Draft),Mary2172,Edgar Brothers,,Payables,-81.91,"16,296.60"
,31/12/2022,Expense Transaction (Bank Draft),Mary2170,CJB Engineering,,Payables,"-1,500.00","14,796.60"
,31/12/2022,Expense Transaction (Bank Draft),Mary2175,GWT Media,,Payables,-28.8,"14,767.80"
,31/12/2022,Expense Transaction (Bank Draft),Mary2190,Worldpay,,Payables,-145.47,"14,622.33"
,31/12/2022,Expense Transaction (Bank Draft),Mary2189,Wireless Terminal Solutions,,Payables,-529.6,"14,092.73"
,31/12/2022,Ledger Entry,3398,,EastX  current account charge,-Split-,-43.77,"14,048.96"
,31/12/2022,Ledger Entry,3411,,Web sale refund,-Split-,-82.5,"13,966.46"
,31/12/2022,Expense Transaction (Bank Draft),Mary2184,The Company of Gunmakers,,Payables,"-1,231.32","12,735.14"
,31/12/2022,Expense Transaction (Bank Draft),Mary2174,GMK,,Payables,-432.72,"12,302.42"
,31/12/2022,Expense Transaction (Bank Draft),Mary2177,L W Butler,,Payables,"-1,134.00","11,168.42"
,31/12/2022,Expense Transaction (Bank Draft),Mary2167,A.S.I Ltd,,Payables,-154.8,"11,013.62"
,31/12/2022,Expense Transaction (Bank Draft),Mary2171,Coggan Simon Engraver,,Payables,-40,"10,973.62"
Total for EastX ****2310,,,,,,,"£5,973.81  ",
EastX  Saver ****7829,,,,,,,,
,Beginning Balance,,,,,,,"23,631.31"
,1/1/2022,Transaction,,SHOP SALE,,Receivables,50,"23,681.31"
,4/1/2022,Fund Transfer,,,,EastX Bank,"30,000.00","53,681.31"
,4/1/2022,Fund Transfer,,,,EastX ****2310,"-10,000.00","43,681.31"
,5/1/2022,Fund Transfer,,,,EastX ****2310,"-30,000.00","13,681.31"
,6/1/2022,Fund Transfer,,,,EastX Bank,"20,000.00","33,681.31"
,12/12/2022,Fund Transfer,,,,EastX Bank,"70,000.00","120,166.97"
,13/12/2022,Fund Transfer,,,,EastX ****2310,"-20,000.00","100,166.97"
,14/12/2022,Fund Transfer,,,,EastX ****2310,"-30,000.00","70,166.97"
,16/12/2022,Transaction,,SHOP SALE,,Receivables,185,"70,351.97"
,16/12/2022,Transaction,,John Reed,,Receivables,"2,244.00","72,595.97"
,17/12/2022,Transaction,,SHOP SALE,,Receivables,162,"72,757.97"
,20/12/2022,Fund Transfer,,,,EastX ****2310,"-20,000.00","52,757.97"
,20/12/2022,Transaction,,Victor  Galea,,Receivables,210,"52,967.97"
,20/12/2022,Fund Transfer,,,,EastX ****2310,"-100,000.00","-47,032.03"
,20/12/2022,Fund Transfer,,,,EastX Bank,"50,000.00","2,967.97"
,21/12/2022,Transaction,,Geoffrey Lignon,,Receivables,104,"3,071.97"
,21/12/2022,Fund Transfer,,,,EastX ****2310,"-2,000.00","1,071.97"
,21/12/2022,Transaction,,Sheikh Mustufa Bin Abdullah,,Receivables,288,"1,359.97"
,22/12/2022,Fund Transfer,,,,EastX Bank,"40,000.00","41,359.97"
,22/12/2022,Transaction,,SHOP SALE,,Receivables,69,"41,428.97"
,22/12/2022,Fund Transfer,,,,EastX ****2310,"-20,000.00","21,428.97"
,27/12/2022,Transaction,,Bertrand  Batoux,,Receivables,79.2,"21,508.17"
,31/12/2022,Ledger Entry,3399,,interest income,-Split-,0.35,"21,508.52"
,31/12/2022,Fund Transfer,,,,EastX ****2310,"-20,000.00","1,508.52"
,31/12/2022,Fund Transfer,,,,EastX Bank,"30,000.00","31,508.52"
,31/12/2022,Fund Transfer,,,,EastX ****2310,"-15,000.00","16,508.52"
,31/12/2022,Fund Transfer,,,,EastX ****2310,"-12,000.00","4,508.52"
Total for EastX  Saver ****7829,,,,,,,"-£19,122.79  ",
Miscellenous Cash,,,,,,,,
,Beginning Balance,,,,,,,324.38
Total for Miscellenous Cash,,,,,,,,
Receivables,,,,,,,,
,Beginning Balance,,,,,,,"1,055,215.10"
,1/1/2022,Transaction,,SHOP SALE,,EastX  Saver ****7829,-50,"1,055,165.10"
,2/1/2022,Transaction,,Online Sale,,EastX ****2310,-142.77,"1,055,022.33"
,2/1/2022,Transaction,,Online Sale,,EastX ****2310,-320.25,"1,054,702.08"
,2/1/2022,Transaction,,Online Sale,,EastX ****2310,-410.64,"1,054,291.44"
,2/1/2022,Transaction,,Online Sale,,EastX ****2310,-570.69,"1,053,720.75"
,2/1/2022,Transaction,,Online Sale,,EastX ****2310,-134.88,"1,053,585.87"
,2/1/2022,Transaction,,Online Sale,,EastX ****2310,-349.83,"1,053,236.04"
,2/1/2022,Transaction,,Online Sale,,EastX ****2310,-78.29,"1,053,157.75"
,2/1/2022,Transaction,,Online Sale,,EastX ****2310,-320.25,"1,052,837.50"
,4/1/2022,Receipt,12064,Online Sale,,Sales of Product Income:UK Sales,211,"1,053,048.50"
,4/1/2022,Transaction,,Online Sale,,EastX ****2310,-207.85,"1,052,840.65"
,4/1/2022,Transaction,,Online Sale,,Apple Account,-3.15,"1,052,837.50"
,4/1/2022,Transaction,,Online Sale,,Apple Account,-6.22,"1,052,831.28"
,4/1/2022,Transaction,,Online Sale,,EastX ****2310,-352.11,"1,052,479.17"
,4/1/2022,Receipt,12067,David Austin,,Sales of Product Income:Non UK Sales,9,"1,052,488.17"
,4/1/2022,Receipt,12066,Gut Grambow SonySports GmbH,,-Split-,385,"1,052,873.17"
,4/1/2022,Receipt,12068,Online Sale,,Sales of Product Income:Non UK Sales,358.33,"1,053,231.50"
,5/1/2022,Transaction,,Online Sale,,Apple Account,-5.51,"1,053,225.99"
,5/1/2022,Transaction,,Online Sale,,EastX ****2310,-373.66,"1,052,852.33"
,5/1/2022,Receipt,12069,Online Sale,,Sales of Product Income:Non UK Sales,379.17,"1,053,231.50"
,5/1/2022,Receipt,12070,Northwood USA 1,,-Split-,620,"1,053,851.50"
,6/1/2022,Receipt,12072,Online Sale,,Sales of Product Income:Non UK Sales,125,"1,053,976.50"
,6/1/2022,Transaction,,Online Sale,,EastX ****2310,-121.17,"1,053,855.33"
,6/1/2022,Transaction,,Online Sale,,Apple Account,-3.83,"1,053,851.50"
,6/1/2022,Transaction,,Online Sale,,EastX ****2310,-93.02,"1,053,758.48"
,6/1/2022,Receipt,12071,Online Sale,,Sales of Product Income:UK Sales,96,"1,053,854.48"
,6/1/2022,Receipt,12073,Armurerie Nouvelle,,-Split-,"136,500.00","1,190,354.48"
,6/1/2022,Transaction,,Online Sale,,Apple Account,-2.98,"1,190,351.50"
,6/1/2022,Transaction,,JAFI,,EastX Bank,-700,"1,189,651.50"
,7/1/2022,Transaction,,SHOP SALE,,EastX  Saver ****7829,-219,"1,189,432.50"
,7/1/2022,Transaction,,Online Sale,,Apple Account,-5.41,"1,189,427.09"
,7/1/2022,Transaction,,Online Sale,,EastX ****2310,-366.59,"1,189,060.50"
,7/1/2022,Transaction,,Online Sale,,EastX ****2310,-103.38,"1,188,957.12"
,7/1/2022,Transaction,,Online Sale,,Apple Account,-3.29,"1,188,953.83"
,7/1/2022,Receipt,12076,SHOP SALE,,Sales of Product Income:Non UK Sales,0,"1,188,953.83"
,7/1/2022,Receipt,12077,SHOP SALE,,-Split-,219,"1,189,172.83"
,7/1/2022,Receipt,12075,Online Sale,,Sales of Product Income:Non UK Sales,106.67,"1,189,279.50"
,7/1/2022,Receipt,12074,Online Sale,,Sales of Product Income:UK Sales,372,"1,189,651.50"
,8/1/2022,Receipt,12078,Francesco Lenzerini,,Orders in Hand/Deferred Income,900,"1,190,551.50"
,9/1/2022,Transaction,,Marco Schmid,,EastX Bank,"-1,304.00","1,189,247.50"
,9/1/2022,Transaction,,Armurerie Nouvelle,,EastX Bank,"-145,356.00","1,043,891.50"
,11/1/2022,Transaction,,Online Sale,,EastX ****2310,-231.87,"1,043,659.63"
,11/1/2022,Transaction,,Online Sale,,Apple Account,-7.13,"1,043,652.50"
,11/1/2022,Transaction,,Online Sale,,EastX ****2310,-80.65,"1,043,571.85"
,11/1/2022,Transaction,,Online Sale,,Apple Account,-1.75,"1,043,570.10"
,11/1/2022,Transaction,,Online Sale,,Apple Account,-0.97,"1,043,569.13"
,11/1/2022,Transaction,,Online Sale,,EastX ****2310,-111.46,"1,043,457.67"
,11/1/2022,Receipt,12079,Online Sale,,Sales of Product Income:Non UK Sales,239,"1,043,696.67"
,11/1/2022,Receipt,12082,Online Sale,,Sales of Product Income:Non UK Sales,55,"1,043,751.67"
,11/1/2022,Receipt,12083,Online Sale,,Sales of Product Income:UK Sales,82,"1,043,833.67"
,11/1/2022,Receipt,12081,Online Sale,,Sales of Product Income:UK Sales,111,"1,043,944.67"
,11/1/2022,Receipt,12080,Online Sale,,Sales of Product Income:Non UK Sales,115,"1,044,059.67"
,11/1/2022,Transaction,,Online Sale,,EastX ****2310,-109.25,"1,043,950.42"
,11/1/2022,Transaction,,Online Sale,,Apple Account,-3.54,"1,043,946.88"
,11/1/2022,Transaction,,Online Sale,,Apple Account,-1.35,"1,043,945.53"
,11/1/2022,Transaction,,Online Sale,,EastX ****2310,-54.03,"1,043,891.50"
,12/1/2022,Transaction,,Online Sale,,EastX ****2310,-103.38,"1,043,788.12"
,12/1/2022,Transaction,,Online Sale,,Apple Account,-3.29,"1,043,784.83"
,12/1/2022,Transaction,,Online Sale,,EastX ****2310,-155.16,"1,043,629.67"
,12/1/2022,Transaction,,Online Sale,,Apple Account,-4.84,"1,043,624.83"
,12/1/2022,Transaction,,JAFI,,EastX Bank,"-6,055.00","1,037,569.83"
,12/1/2022,Transaction,,Steven F Clark,,EastX Bank,"-5,080.00","1,032,489.83"
,12/1/2022,Receipt,12087,Ifzaal  Musa,,Sales of Product Income:Non UK Sales,"1,350.00","1,033,839.83"
,12/1/2022,Receipt,12086,David Austin,,Sales of Product Income:Non UK Sales,24,"1,033,863.83"
,12/1/2022,Receipt,12085,Online Sale,,Sales of Product Income:Non UK Sales,106.67,"1,033,970.50"
,12/1/2022,Receipt,12084,Online Sale,,Sales of Product Income:Non UK Sales,160,"1,034,130.50"
,13/01/2022,Transaction,,Online Sale,,EastX ****2310,-51.07,"1,034,079.43"
,13/01/2022,Transaction,,Online Sale,,Apple Account,-3.18,"1,034,076.25"
,13/01/2022,Transaction,,Online Sale,,EastX ****2310,-291.49,"1,033,784.76"
,13/01/2022,Transaction,,Online Sale,,Apple Account,-4.34,"1,033,780.42"
,13/01/2022,Receipt,12090,Online Sale,,Sales of Product Income:UK Sales,52,"1,033,832.42"
,13/01/2022,Transaction,,Online Sale,,EastX ****2310,-209.32,"1,033,623.10"
,13/01/2022,Receipt,12092,Northwood USA 1,,-Split-,"1,453.90","1,035,077.00"
,13/01/2022,Receipt,12089,Online Sale,,Sales of Product Income:Non UK Sales,212.5,"1,035,289.50"
,13/01/2022,Receipt,12091,Online Sale,,Sales of Product Income:Non UK Sales,295.83,"1,035,585.33"
,13/01/2022,Transaction,,Online Sale,,Apple Account,-0.93,"1,035,584.40"
,14/01/2022,Receipt,12094,L&O Group SA,,-Split-,943.12,"1,036,527.52"
,14/01/2022,Receipt,11972,L&O Group SA,,-Split-,"104,504.65","1,141,032.17"
,15/01/2022,Receipt,12095,Online Sale,,Sales of Product Income:Non UK Sales,166.67,"1,141,198.84"
,15/01/2022,Transaction,,Vance Daigle,,EastX Bank,"-15,075.00","1,126,123.84"
,15/01/2022,Receipt,12096,Chris Dianda,,Sales of Product Income:Non UK Sales,250,"1,126,373.84"
,15/01/2022,Transaction,,Online Sale,,EastX ****2310,-161.64,"1,126,212.20"
,15/01/2022,Transaction,,Online Sale,,Apple Account,-5.03,"1,126,207.17"
,18/01/2022,Receipt,12102,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Non UK Sales,"1,950.00","1,128,157.17"
,18/01/2022,Transaction,,Online Sale,,EastX ****2310,-79.1,"1,128,078.07"
,18/01/2022,Receipt,12099,Online Sale,,Sales of Product Income:Non UK Sales,560.83,"1,128,638.90"
,18/01/2022,Receipt,12098,Online Sale,,Sales of Product Income:Non UK Sales,81.67,"1,128,720.57"
,18/01/2022,Receipt,12097,Online Sale,,Sales of Product Income:Non UK Sales,198.33,"1,128,918.90"
,18/01/2022,Transaction,,Online Sale,,EastX ****2310,-192.38,"1,128,726.52"
,18/01/2022,Transaction,,Online Sale,,Apple Account,-5.95,"1,128,720.57"
,18/01/2022,Debit Memo,CN8532,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,"-17,730.17","1,110,990.40"
,18/01/2022,Transaction,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,,"1,110,990.40"
,18/01/2022,Transaction,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,,"1,110,990.40"
,18/01/2022,Transaction,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,,"1,110,990.40"
,18/01/2022,Transaction,,Online Sale,,Apple Account,-8.05,"1,110,982.35"
,18/01/2022,Transaction,,Online Sale,,Apple Account,-2.57,"1,110,979.78"
,18/01/2022,Transaction,,Online Sale,,EastX ****2310,-552.78,"1,110,427.00"
,18/01/2022,Receipt,12101,Sheikh Salman Bin Ebrahim Al-Khalifa,,Sales of Product Income:Non UK Sales,"2,267.00","1,112,694.00"
,19/01/2022,Receipt,12104,Online Sale,,-Split-,41,"1,112,735.00"
,19/01/2022,Receipt,12103,Online Sale,,Sales of Product Income:Non UK Sales,628.33,"1,113,363.33"
,19/01/2022,Transaction,,Sheikh Khalid Bin Ibrahim Al-Khalifa,,EastX Bank,"-7,173.43","1,106,189.90"
,19/01/2022,Transaction,,Online Sale,,EastX ****2310,-40.23,"1,106,149.67"
,19/01/2022,Transaction,,Online Sale,,Apple Account,-18.42,"1,106,131.25"
,19/01/2022,Transaction,,Online Sale,,EastX ****2310,-609.91,"1,105,521.34"
,19/01/2022,Transaction,,Online Sale,,Apple Account,-0.77,"1,105,520.57"
,20/01/2022,Transaction,,Paul F Barnhart Jr,,EastX Bank,"-63,022.50","1,042,498.07"
,21/01/2022,Receipt,12106,Online Sale,,Sales of Product Income:Non UK Sales,681.67,"1,043,179.74"
,21/01/2022,Transaction,,Online Sale,,Apple Account,-11.8,"1,043,167.94"
,21/01/2022,Receipt,12107,Armurerie Nouvelle,,Sales of Product Income:Non UK Sales,900,"1,044,067.94"
,21/01/2022,Receipt,12105,Online Sale,,Sales of Product Income:UK Sales,197,"1,044,264.94"
,21/01/2022,Receipt,12110,Online Sale,,Sales of Product Income:Non UK Sales,157.5,"1,044,422.44"
,21/01/2022,Receipt,12109,Online Sale,,Sales of Product Income:Non UK Sales,400,"1,044,822.44"
,21/01/2022,Transaction,,Online Sale,,Apple Account,-19.97,"1,044,802.47"
,21/01/2022,Transaction,,Online Sale,,EastX ****2310,-661.7,"1,044,140.77"
,21/01/2022,Transaction,,Online Sale,,EastX ****2310,-194.04,"1,043,946.73"
,21/01/2022,Transaction,,Online Sale,,Apple Account,-2.96,"1,043,943.77"
,21/01/2022,Transaction,,Mauritz Widforss AB,,EastX Bank,"-1,300.00","1,042,643.77"
,21/01/2022,Transaction,,Online Sale,,Apple Account,-2.41,"1,042,641.36"
,21/01/2022,Transaction,,Online Sale,,EastX ****2310,-155.09,"1,042,486.27"
,21/01/2022,Transaction,,Online Sale,,EastX ****2310,-388.2,"1,042,098.07"
,21/01/2022,Receipt,12108,L&O Group SA,,Sales of Product Income:Non UK Sales,"4,017.00","1,046,115.07"
,22/01/2022,Receipt,12113,Online Sale,,Sales of Product Income:Non UK Sales,310,"1,046,425.07"
,22/01/2022,Receipt,12111,Online Sale,,Sales of Product Income:Non UK Sales,111.67,"1,046,536.74"
,22/01/2022,Receipt,12112,Online Sale,,Sales of Product Income:Non UK Sales,790,"1,047,326.74"
,22/01/2022,Transaction,,Online Sale,,EastX ****2310,-300.81,"1,047,025.93"
,22/01/2022,Transaction,,Online Sale,,Apple Account,-9.19,"1,047,016.74"
,22/01/2022,Transaction,,Lupus,,EastX Bank,"-5,000.00","1,042,016.74"
,22/01/2022,Transaction,,Online Sale,,EastX ****2310,-766.89,"1,041,249.85"
,22/01/2022,Transaction,,Online Sale,,EastX ****2310,-108.23,"1,041,141.62"
,22/01/2022,Transaction,,Online Sale,,Apple Account,-3.44,"1,041,138.18"
,22/01/2022,Transaction,,Ifzaal  Musa,,EastX Bank,"-9,000.00","1,032,138.18"
,22/01/2022,Transaction,,Online Sale,,Apple Account,-23.11,"1,032,115.07"
,25/01/2022,Receipt,12117,HH Sheikh Mohammed Al-Sharqi,,Sales of Product Income:Non UK Sales,"4,000.00","1,036,115.07"
,25/01/2022,Receipt,12118,Thomas Hill,,Sales of Product Income:Non UK Sales,0,"1,036,115.07"
,25/01/2022,Receipt,12116,David Austin,,Sales of Product Income:Non UK Sales,"2,000.00","1,038,115.07"
,25/01/2022,Receipt,12115,Online Sale,,Sales of Product Income:Non UK Sales,110.83,"1,038,225.90"
,25/01/2022,Transaction,,Online Sale,,EastX ****2310,-236.89,"1,037,989.01"
,25/01/2022,Transaction,,Online Sale,,Apple Account,-7.28,"1,037,981.73"
,25/01/2022,Transaction,,Online Sale,,Apple Account,-3.41,"1,037,978.32"
,25/01/2022,Transaction,,Online Sale,,EastX ****2310,-107.42,"1,037,870.90"
,25/01/2022,Receipt,12114,Online Sale,,Sales of Product Income:Non UK Sales,244.17,"1,038,115.07"
,26/01/2022,Transaction,,HH Sheikh Mohammed Al-Sharqi,,Apple Account,-12,"1,038,103.07"
,26/01/2022,Transaction,,HH Sheikh Mohammed Al-Sharqi,,EastX Bank,"-99,988.00","938,115.07"
,29/01/2022,Receipt,12120,Online Sale,,Sales of Product Income:Non UK Sales,207.5,"938,322.57"
,29/01/2022,Receipt,12128,Sheikh Salman Bin Ebrahim Al-Khalifa,,Sales of Product Income:Non UK Sales,"6,041.00","944,363.57"
,29/01/2022,Transaction,,Stephen Anderson,,-Split-,,"944,363.57"
,29/01/2022,Debit Memo,12123,Stephen Anderson,,Sales of Product Income:Non UK Sales,-900,"943,463.57"
,29/01/2022,Transaction,,Online Sale,,Apple Account,-3.11,"943,460.46"
,29/01/2022,Receipt,12122,Sheikh Khalid Bin Ibrahim Al-Khalifa,,-Split-,"11,786.20","955,246.66"
,29/01/2022,Receipt,12121,Online Sale,,Sales of Product Income:Non UK Sales,45.83,"955,292.49"
,29/01/2022,Transaction,,Online Sale,,Apple Account,-0.84,"955,291.65"
,30/01/2022,Transaction,,Vance Daigle,,EastX Bank,"-26,437.02","928,854.63"
,1/2/2022,Receipt,12125,Online Sale,,Sales of Product Income:Non UK Sales,83.33,"928,937.96"
,1/2/2022,Receipt,12127,SHOP SALE,,Sales of Product Income:UK Sales,200,"929,137.96"
,1/2/2022,Receipt,12126,Online Sale,,Sales of Product Income:UK Sales,257,"929,394.96"
,1/2/2022,Receipt,12124,Online Sale,,Sales of Product Income:UK Sales,102,"929,496.96"
,1/2/2022,Transaction,,Online Sale,,Apple Account,-1.37,"929,495.59"
,1/2/2022,Transaction,,Sheikh Salman Bin Ebrahim Al-Khalifa,,-Split-,,"929,495.59"
,1/2/2022,Transaction,,Online Sale,,Apple Account,-3.8,"929,491.79"
,1/2/2022,Transaction,,Online Sale,,EastX ****2310,-81.96,"929,409.83"
,1/2/2022,Transaction,,Online Sale,,EastX ****2310,-100.37,"929,309.46"
,1/2/2022,Transaction,,Online Sale,,Apple Account,-1.63,"929,307.83"
,1/2/2022,Transaction,,SHOP SALE,,EastX  Saver ****7829,-200,"929,107.83"
,1/2/2022,Transaction,,Online Sale,,EastX ****2310,-253.2,"928,854.63"
,2/2/2022,Receipt,12129,Online Sale,,Sales of Product Income:UK Sales,292,"929,146.63"
